,smell value,TEST
33,5.0,0.030111374
34,9.0,0.038749593
35,5.0,0.004511229
36,5.0,0.01012854
37,4.0,0.035345
38,6.0,0.0196252
39,4.0,0.00945054
40,3.0,0.025060679
41,7.0,0.017711774
42,6.0,0.010275504
43,3.0,0.031016921
44,4.0,0.011358892
45,3.0,0.007721547
46,5.0,0.094702539
47,4.0,0.015944604
48,4.0,0.011462072
49,3.0,0.006535945
50,5.0,0.009697335
51,5.0,0.011976549
52,4.0,0.028280611
53,5.0,0.003967434
54,5.0,0.012802229
55,10.0,0.009023362
0,4.0,0.0
1,4.0,0.0
2,5.0,0.0
3,3.0,0.010697651
4,5.0,0.015942764
5,4.0,0.006246238
6,9.0,0.017075345
7,5.0,0.020745941
8,5.0,0.023821553999999998
9,4.0,0.024506919
10,5.0,0.017488525
11,13.0,0.015856429
12,12.0,0.01489999
13,3.0,0.015447388
14,10.0,0.022975196
15,7.0,0.017180464
16,4.0,0.009214776000000001
17,13.0,0.030911901
18,5.0,0.027289227
19,5.0,0.040214383
20,5.0,0.041921012
21,5.0,0.0
22,5.0,0.028127711
23,7.0,0.01628826
24,10.0,0.024839979
25,7.0,0.022143702
26,5.0,0.021947913
27,4.0,0.022211253
28,9.0,0.022446204
29,10.0,0.04303983
30,9.0,0.031346468
31,5.0,0.045531089
32,8.0,0.100302564
33,4.0,0.048233932
34,9.0,0.044620923
35,10.0,0.051012838
36,4.0,0.0508324
37,9.0,0.052607138
38,4.0,0.244168835
39,5.0,0.268918334
40,5.0,0.065346612
41,4.0,0.059698236
42,5.0,0.055716812
43,9.0,0.150179649
44,4.0,0.124413881
45,10.0,0.121478262
46,4.0,0.107176418
47,4.0,0.076962059
48,4.0,0.127753785
49,4.0,0.069728893
50,5.0,0.15155953
51,5.0,0.088126605
52,4.0,0.204040984
53,5.0,0.104555619
54,5.0,0.028488311
55,4.0,0.011799066
0,5.0,0.0005244389
1,4.0,0.000467216
2,3.0,0.00115905
3,3.0,0.001203167
4,5.0,0.000832076
5,4.0,0.0019557094
6,4.0,0.002989623
7,4.0,0.0060809556
8,3.0,0.0072292265
9,3.0,0.0060925468
10,4.0,0.014876535
11,5.0,0.0146237696
12,5.0,0.0134169569
13,4.0,0.010829634
14,5.0,0.0137585752
15,4.0,0.013345735
16,8.0,0.0125843412
17,5.0,0.0128324662
18,5.0,0.0150180156
19,8.0,0.0138118285
20,5.0,0.0134799248
21,5.0,0.0124078207
22,4.0,0.0192959714
23,3.0,0.0116425686
24,4.0,0.016614704
25,10.0,0.0159859913
26,4.0,0.0170122283
27,4.0,0.0174907118
28,4.0,0.0129098937
29,3.0,0.0247446078
30,3.0,0.1770925253
