,date,percentage agreement average,percentage agreement sum,impact stats average,impact stats sum,correlation average,correlation sum
2018-8-19-morning,2018-8-19-morning,100.0,100.0,"                  Mean  Count      STD
smell value                           
1.0          11.241857      2  8.68213
2.5           6.201123      1      NaN
4.0           0.002074      2  0.00171","                  Mean  Count      STD
smell value                           
1.0          11.241857      2  8.68213
4.0           0.002074      2  0.00171
5.0           6.201123      1      NaN",-0.7908666652135257,-0.612321517901821
2018-8-19-afternoon,2018-8-19-afternoon,100.0,100.0,"                  Mean  Count  STD
smell value                       
1.0           8.597038      1  NaN
2.0           5.900753      1  NaN
3.5          15.370300      1  NaN","                  Mean  Count  STD
smell value                       
1.0           8.597038      1  NaN
2.0           5.900753      1  NaN
7.0          15.370300      1  NaN",0.772133621330079,0.9063876064977738
2018-8-20-morning,2018-8-20-morning,100.0,100.0,"                 Mean  Count      STD
smell value                          
1.0          6.848639      2  3.54573
2.0          8.291514      1      NaN
3.0          7.243225      3  5.04166","                 Mean  Count      STD
smell value                          
1.0          6.848639      2  3.54573
2.0          8.291514      1      NaN
3.0          7.243225      3  5.04166",0.04214959369229665,0.04214959369229665
2018-8-20-afternoon,2018-8-20-afternoon,100.0,100.0,"                 Mean  Count        STD
smell value                            
1.0          9.558079      2  13.064520
2.0          8.795464      1        NaN
3.0          3.657640      2   4.688671
4.0          1.903042      1        NaN
5.0          1.503635      4   2.980123","                 Mean  Count        STD
smell value                            
1.0          9.558079      2  13.064520
2.0          8.795464      1        NaN
3.0          3.657640      2   4.688671
4.0          1.903042      1        NaN
5.0          1.999663      3   3.441720
10.0         0.015551      1        NaN",-0.5588999811800515,-0.4966938201543077
2018-8-21-morning,2018-8-21-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0          17.358649      3  11.182795
4.0          14.488391      3   7.576416","                  Mean  Count        STD
smell value                             
1.0          17.358649      3  11.182795
4.0          14.488391      3   7.576416",-0.18098373267443682,-0.18098373267443682
2018-8-21-afternoon,2018-8-21-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
3.0          16.445088      4  3.123110
4.0          15.258120      3  2.613327","                  Mean  Count       STD
smell value                            
3.0          16.445088      4  3.123110
4.0          15.258120      3  2.613327",-0.23081331668872707,-0.23081331668872707
2018-8-22-morning,2018-8-22-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          16.258575      2  8.237666
3.0          11.995285      1       NaN
4.0          18.770244      1       NaN","                  Mean  Count       STD
smell value                            
1.0          16.258575      2  8.237666
3.0          11.995285      1       NaN
4.0          18.770244      1       NaN",0.04818331980399939,0.04818331980399939
2018-8-22-afternoon,2018-8-22-afternoon,100.0,100.0,"                 Mean  Count  STD
smell value                      
2.0          0.395487      1  NaN","                 Mean  Count  STD
smell value                      
2.0          0.395487      1  NaN",,
2018-8-23-morning,2018-8-23-morning,100.0,100.0,"                 Mean  Count       STD
smell value                           
3.0          12.40756      3  8.555201","                 Mean  Count       STD
smell value                           
3.0          12.40756      3  8.555201",,
2018-8-23-afternoon,2018-8-23-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          11.767160      2  6.610379
3.0          11.327965      2  4.093447
4.0          17.215736      3  2.016938
5.0           9.418225      1       NaN","                  Mean  Count       STD
smell value                            
1.0          11.767160      2  6.610379
3.0          11.327965      2  4.093447
4.0          16.313274      2  1.802623
5.0           9.418225      1       NaN
8.0          19.020661      1       NaN",0.2177271901102659,0.45475991365670043
2018-8-24-morning,2018-8-24-morning,100.0,100.0,"                 Mean  Count       STD
smell value                           
3.000000     6.795401     16  2.834919
3.333333     6.966509      1       NaN
3.500000     6.917389      6  2.625061
4.000000     7.554561     17  4.047645
4.500000     5.131205      5  1.073256
5.000000     8.364350      8  5.393184","                 Mean  Count       STD
smell value                           
3.0          6.879677     15  2.913599
4.0          7.713992     15  4.299933
5.0          8.819768      7  5.656712
6.0          5.531256      1       NaN
7.0          6.917389      6  2.625061
9.0          4.873128      4  1.044898
10.0         6.071470      2  1.265778
12.0         6.358833      2  0.205218
18.0         6.163513      1       NaN",0.0846785129899747,-0.1350390442386225
2018-8-24-afternoon,2018-8-24-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0          12.886539      3  14.921366
2.0          15.502242      1        NaN
3.0           0.244182      1        NaN
4.0          19.503939      6  13.145488
5.0          10.405648      5  13.254869","                  Mean  Count        STD
smell value                             
1.0          12.886539      3  14.921366
3.0           0.244182      1        NaN
4.0          18.932268      7  12.095077
5.0          12.973105      4  13.795283
10.0          0.135821      1        NaN",0.008883834161870295,-0.15549740682398908
2018-8-25-morning,2018-8-25-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
3.0          16.786488      7  7.262402
4.0          17.524044      2  2.281483
4.5          19.443220      1       NaN
5.0          19.455542      3  2.319119","                  Mean  Count       STD
smell value                            
3.0          16.786488      7  7.262402
4.0          17.524044      2  2.281483
5.0          19.455542      3  2.319119
9.0          19.443220      1       NaN",0.22063391015345635,0.1839725719847474
2018-8-25-afternoon,2018-8-25-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          12.373820      6  9.656285
3.0          12.294228      3  2.593536
4.0           7.541471      3  0.379520
5.0           3.862257      1       NaN","                  Mean  Count       STD
smell value                            
1.0          12.373820      6  9.656285
3.0          12.294228      3  2.593536
4.0           7.541471      3  0.379520
5.0           3.862257      1       NaN",-0.35014167250008854,-0.35014167250008854
2018-8-26-morning,2018-8-26-morning,100.0,100.0,"                  Mean  Count      STD
smell value                           
1.0          23.210499      1      NaN
3.0          16.975397      3  4.90235
4.0          15.631764      1      NaN","                  Mean  Count      STD
smell value                           
1.0          23.210499      1      NaN
3.0          16.975397      3  4.90235
4.0          15.631764      1      NaN",-0.639367590560089,-0.639367590560089
