EpochTime,3.feed_25.NO2_PPM..3.feed_25.NO2_PPB
1479925800,0.019
1479929400,0.013
1479933000,0.012
1479936600,0.016
1479940200,0.024
1479943800,0.026
1479947400,0.01
1479951000,0.011
1479954600,0.01
1479958200,0.011
1479961800,0.011
1479965400,0.016
1479969000,0.017
1479972600,0.017
1479976200,0.017
1479979800,0.014
1479983400,0.016
1479987000,0.017
1479990600,0.019
1479994200,0.024
1479997800,0.021
1480001400,0.018
1480005000,0.015
1480008600,0.012
1480012200,0.009
1480015800,0.01
1480019400,0.003
1480023000,0.003
1480026600,0.004
1480030200,0.004
1480033800,0.002
1480037400,0.002
1480041000,0.003
1480044600,0.004
1480048200,0.002
1480051800,0.003
1480055400,0.004
1480059000,0.011
1480062600,0.01
1480066200,0.012
1480069800,0.012
1480073400,0.006
1480077000,0.004
1480080600,0.002
1480084200,0.001
1480087800,0.001
1480091400,0.001
1480095000,0.0
1480098600,0.001
1480102200,0.002
1480105800,0.002
1480109400,0.003
1480113000,0.003
1480116600,0.002
1480120200,0.002
1480123800,0.002
1480127400,0.001
1480131000,0.001
1480134600,0.001
1480138200,0.0
1480141800,0.0
1480145400,0.001
1480149000,0.002
1480152600,0.003
1480156200,0.002
1480159800,0.002
1480163400,0.001
1480167000,0.002
1480170600,0.002
1480174200,0.001
1480177800,0.001
1480181400,0.001
1480185000,0.001
1480188600,0.001
1480192200,0.002
1480195800,0.001
1480199400,0.0
1480203000,0.001
1480206600,0.001
1480210200,0.003
1480213800,0.002
1480217400,0.001
1480221000,0.002
1480224600,0.003
1480228200,0.001
1480231800,0.001
1480235400,0.001
1480239000,0.001
1480242600,0.001
1480246200,0.002
1480249800,0.003
1480253400,0.005
1480257000,0.001
1480260600,0.0
1480264200,0.0
1480267800,0.0
1480271400,0.0
1480275000,0.001
1480278600,0.001
1480282200,0.002
1480285800,0.011
1480289400,0.025
1480293000,0.023
1480296600,0.02
1480300200,0.02
1480303800,0.017
1480307400,0.018
1480311000,0.018
1480314600,0.019
1480318200,0.017
1480321800,0.016
1480325400,0.015
1480329000,0.014
1480332600,0.011
1480336200,0.012
1480339800,0.012
1480343400,0.013
1480347000,0.012
1480350600,0.011
1480354200,0.014
1480357800,0.017
1480361400,0.012
1480365000,0.009
1480368600,0.008
1480372200,0.007
1480375800,0.008
1480379400,0.005
1480383000,0.004
1480386600,0.002
1480390200,0.002
1480393800,0.003
1480397400,0.006
1480401000,0.004
1480404600,0.002
1480408200,0.001
1480411800,0.002
1480415400,0.007
1480419000,0.013
1480422600,0.024
1480426200,0.022
1480429800,0.019
1480433400,0.021
1480437000,0.017
1480440600,0.008
1480444200,0.003
1480447800,0.002
1480451400,0.002
1480455000,0.005
1480458600,0.004
1480462200,0.029
1480465800,0.026
1480469400,0.023
1480473000,0.024
1480476600,0.021
1480480200,0.019
1480483800,0.015
1480487400,0.015
1480491000,0.014
1480494600,0.014
1480498200,0.013
1480501800,0.012
1480505400,0.015
1480509000,0.018
1480512600,0.018
1480516200,0.005
1480519800,0.007
1480523400,0.012
1480527000,0.012
1480530600,0.014
1480537800,0.011
1480541400,0.014
1480545000,0.018
1480548600,0.007
1480552200,0.008
1480555800,0.004
1480559400,0.002
1480563000,0.0
1480566600,0.0
1480570200,0.0
1480573800,0.0
1480577400,0.0
1480581000,0.0
1480584600,0.001
1480588200,0.0
1480591800,0.0
1480595400,0.002
1480599000,0.002
1480602600,0.0
1480606200,0.0
1480609800,0.0
1480613400,0.001
1480617000,0.0
